epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,870.55,1.46322,2.40552,1.35892,0.7679,0.22663,0.24191,0.15094,1.55765,2.48598,1.39998,0.00047324,0.00047324,0.00047324
2,1753.09,1.34338,1.70176,1.2889,0.77581,0.23662,0.24697,0.14457,1.70888,2.50683,1.55267,0.000930772,0.000930772,0.000930772
3,2675.91,1.33129,1.58275,1.28182,0.83164,0.24146,0.28358,0.17591,1.64695,2.00274,1.52875,0.00136944,0.00136944,0.00136944
4,3574.66,1.30429,1.48197,1.26377,0.79261,0.24517,0.26911,0.1691,1.56555,1.95319,1.47227,0.00134412,0.00134412,0.00134412
5,4421.29,1.27541,1.42216,1.25573,0.81152,0.27112,0.30408,0.20443,1.36404,1.7966,1.37643,0.00131582,0.00131582,0.00131582
6,5276.25,1.25928,1.37549,1.23744,0.30734,0.24081,0.27938,0.18399,1.43953,2.0047,1.43352,0.00128753,0.00128753,0.00128753
7,6135.34,1.24419,1.3294,1.23546,0.29869,0.26564,0.29038,0.19649,1.36084,1.77481,1.37046,0.00125923,0.00125923,0.00125923
8,6962.16,1.21232,1.29772,1.2195,0.33814,0.26048,0.30721,0.20832,1.4148,1.72345,1.39135,0.00123094,0.00123094,0.00123094
9,7506.46,1.18755,1.25911,1.20579,0.31133,0.25322,0.29182,0.18721,1.53128,1.76877,1.48031,0.00120265,0.00120265,0.00120265
10,8048.83,1.18588,1.25818,1.19925,0.34179,0.26435,0.31298,0.21096,1.35801,1.72738,1.35383,0.00117435,0.00117435,0.00117435
11,8594.88,1.16788,1.2356,1.1951,0.33426,0.27631,0.31655,0.21996,1.29854,1.69363,1.31712,0.00114606,0.00114606,0.00114606
12,9143.26,1.14815,1.20989,1.18282,0.33739,0.25629,0.30022,0.20197,1.44798,1.87892,1.41919,0.00111776,0.00111776,0.00111776
13,9697.29,1.13161,1.18998,1.16988,0.33977,0.28917,0.33097,0.23325,1.2824,1.55891,1.29772,0.00108947,0.00108947,0.00108947
14,10245,1.13334,1.17293,1.17013,0.33513,0.2785,0.32276,0.22628,1.27884,1.74539,1.32633,0.00106118,0.00106118,0.00106118
15,10795.7,1.11969,1.16237,1.16316,0.36014,0.27466,0.3289,0.23201,1.30436,1.56019,1.34191,0.00103288,0.00103288,0.00103288
16,11344.2,1.11259,1.15958,1.15534,0.34669,0.28208,0.33458,0.23378,1.26059,1.44895,1.30297,0.00100459,0.00100459,0.00100459
17,11892.2,1.09716,1.12678,1.14941,0.84448,0.28304,0.32852,0.22426,1.38051,1.53825,1.37498,0.000976293,0.000976293,0.000976293
18,12441.5,1.08963,1.09709,1.14663,0.85777,0.28466,0.33471,0.23312,1.2925,1.58395,1.31961,0.000947999,0.000947999,0.000947999
19,12990.3,1.08866,1.10138,1.14699,0.84275,0.29787,0.34532,0.23727,1.33656,1.49459,1.32219,0.000919704,0.000919704,0.000919704
20,13536.3,1.0786,1.08497,1.13583,0.85836,0.27208,0.33432,0.22763,1.35584,1.53721,1.35572,0.00089141,0.00089141,0.00089141
21,14078.5,1.06259,1.07773,1.13414,0.84625,0.30045,0.34246,0.24382,1.25165,1.52031,1.2877,0.000863116,0.000863116,0.000863116
22,14623.6,1.05742,1.07453,1.12791,0.84779,0.30916,0.3506,0.24941,1.25803,1.45399,1.29367,0.000834822,0.000834822,0.000834822
23,15170.1,1.0457,1.05322,1.12437,0.84532,0.29509,0.42473,0.25501,1.22453,1.4588,1.28812,0.000806528,0.000806528,0.000806528
24,15721.9,1.05315,1.05315,1.12665,0.86479,0.29981,0.35201,0.25165,1.24809,1.44762,1.26303,0.000778233,0.000778233,0.000778233
25,16263,1.03915,1.02339,1.1152,0.86574,0.29207,0.34796,0.25104,1.18765,1.42566,1.25564,0.000749939,0.000749939,0.000749939
26,16806.1,1.04021,1.02534,1.11631,0.86955,0.29497,0.36689,0.2534,1.21351,1.38723,1.26496,0.000721645,0.000721645,0.000721645
27,17345.5,1.01795,1.01721,1.10969,0.85253,0.30594,0.35383,0.25769,1.19328,1.37376,1.24929,0.000693351,0.000693351,0.000693351
28,17887.2,1.01359,1.01203,1.10689,0.85961,0.29151,0.36213,0.25464,1.24546,1.48775,1.30345,0.000665057,0.000665057,0.000665057
29,18432.5,1.00209,0.98615,1.09093,0.86271,0.29981,0.36694,0.26398,1.17329,1.37773,1.24337,0.000636762,0.000636762,0.000636762
30,18981.9,0.99804,0.98928,1.09595,0.87152,0.29852,0.35784,0.25942,1.24632,1.354,1.28476,0.000608468,0.000608468,0.000608468
31,19526.7,0.99182,0.96991,1.09041,0.85317,0.31464,0.37498,0.25985,1.20439,1.37187,1.25873,0.000580174,0.000580174,0.000580174
32,20064.9,0.99136,0.97127,1.08985,0.85263,0.304,0.36897,0.25987,1.20321,1.42779,1.26178,0.00055188,0.00055188,0.00055188
33,20608.1,0.98473,0.95378,1.08326,0.86854,0.30277,0.39442,0.2675,1.21413,1.367,1.26093,0.000523586,0.000523586,0.000523586
34,21161.4,0.97243,0.94459,1.07945,0.87497,0.30066,0.60973,0.28703,1.17548,1.3687,1.25252,0.000495291,0.000495291,0.000495291
35,21741.1,0.96201,0.94069,1.07637,0.87596,0.30289,0.3582,0.26224,1.17138,1.35413,1.24634,0.000466997,0.000466997,0.000466997
36,22335.6,0.95664,0.92816,1.07481,0.86209,0.30239,0.35169,0.25818,1.18385,1.38855,1.24584,0.000438703,0.000438703,0.000438703
37,22929.4,0.95384,0.9197,1.0727,0.88326,0.29497,0.37637,0.26943,1.18098,1.33156,1.256,0.000410409,0.000410409,0.000410409
38,23525.1,0.96445,0.92078,1.07324,0.8648,0.31593,0.3913,0.27113,1.15358,1.32562,1.23395,0.000382115,0.000382115,0.000382115
39,24107.8,0.9477,0.90038,1.0654,0.85943,0.31721,0.60858,0.31152,1.1783,1.35044,1.24631,0.00035382,0.00035382,0.00035382
40,24665.7,0.94389,0.89892,1.0603,0.87768,0.30458,0.38282,0.27251,1.1499,1.27671,1.23076,0.000325526,0.000325526,0.000325526
41,25388.4,0.86926,0.83238,1.027,0.89155,0.29679,0.44846,0.29547,1.17724,1.37256,1.25096,0.000297232,0.000297232,0.000297232
42,26229.6,0.84213,0.78702,1.01527,0.69348,0.40232,0.77656,0.34789,1.17622,1.31059,1.24581,0.000268938,0.000268938,0.000268938
43,27370.4,0.8367,0.7755,1.00902,0.87835,0.30496,0.63187,0.32706,1.17412,1.33202,1.24281,0.000240644,0.000240644,0.000240644
44,28707.8,0.82942,0.77373,1.00536,0.86658,0.3185,0.53199,0.29218,1.16451,1.2881,1.24959,0.000212349,0.000212349,0.000212349
45,29501.2,0.8223,0.7554,1.00421,0.86329,0.32141,0.44432,0.27987,1.17602,1.30327,1.25873,0.000184055,0.000184055,0.000184055
46,30280,0.81613,0.74354,1.00015,0.87535,0.31646,0.44773,0.28406,1.16359,1.33421,1.25002,0.000155761,0.000155761,0.000155761
47,31057.8,0.80896,0.73473,0.99499,0.72763,0.3833,0.62541,0.29797,1.1594,1.32234,1.25169,0.000127467,0.000127467,0.000127467
48,31822.6,0.80668,0.72361,0.99472,0.87434,0.31173,0.3642,0.26915,1.17192,1.32604,1.25411,9.91726e-05,9.91726e-05,9.91726e-05
49,32587.9,0.80219,0.71597,0.99408,0.87955,0.30851,0.38122,0.2695,1.16569,1.32012,1.25374,7.08784e-05,7.08784e-05,7.08784e-05
50,33358.1,0.79299,0.70244,0.98862,0.88021,0.30883,0.37975,0.26977,1.16079,1.32359,1.24746,4.25842e-05,4.25842e-05,4.25842e-05
